"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.169328729,      -12.29744865,      -12.39107641,       -13.1941899,     -0.9618290057,      -8.093831941
          0,           0,           1,      -2.796114011,      -2.066550015,      -2.123964706,      -6.465432654,      -1.575210407,      -8.907042754
          0,           0,           2,      -2.836933566,      -2.144072942,      -2.598076157,      -5.906609853,      -1.619429277,      -9.239158299
          0,           0,           3,      -2.964211822,      -2.225509059,      -2.609442643,      -5.536500429,      -1.760465068,      -9.471645342
          0,           0,           4,      -3.060924611,      -2.280952883,      -2.584448475,      -5.158689575,      -1.879608883,      -9.526947734
          0,           0,           5,      -3.086672751,      -2.326249849,      -2.612265699,      -4.807248748,      -1.921849728,      -9.488588437
          0,           0,           6,      -3.071453555,      -2.376192562,      -2.663178567,      -4.560272448,      -1.906307798,      -9.428786448
          0,           0,           7,      -3.045408712,      -2.432210997,      -2.716574256,      -4.422567228,       -1.87136716,      -9.366641144
          0,           0,           8,      -3.025884477,      -2.482879867,      -2.737977379,      -4.286954452,      -1.844364494,      -9.307778482
          0,           0,           9,      -3.019008886,      -2.514199672,      -2.712593039,       -4.00557851,      -1.835473613,       -9.24989037
          0,           0,          10,      -3.016080448,      -2.527709328,      -2.671847976,      -3.720852176,      -1.835348469,      -9.187882991
          0,           0,          11,      -3.000431799,      -2.536462777,      -2.644965984,      -3.506253532,      -1.822995951,      -9.121687729
          0,           0,          12,       -2.96792389,      -2.547428576,      -2.636732896,      -3.358689405,      -1.789798348,      -9.054291289
          0,           0,          13,      -2.930536622,      -2.553833232,      -2.635479986,      -3.267524786,       -1.74822026,      -8.987692468
          0,           0,          14,      -2.900179399,      -2.542107686,      -2.623361219,      -3.223167241,      -1.713119339,      -8.921111951
          0,           0,          15,       -2.87989113,      -2.510685239,      -2.592765553,      -3.214655014,      -1.689998845,      -8.854937103
          0,           0,          16,       -2.86480901,      -2.475078229,      -2.554529934,      -3.224977361,      -1.675829479,      -8.790692059
          0,           0,          17,      -2.846525742,      -2.451179439,      -2.524945086,      -3.225053899,      -1.662589331,      -8.729989017
          0,           0,          18,      -2.819807793,       -2.44490711,      -2.513851173,       -3.18386081,       -1.64251885,       -8.67429504
          0,           0,          19,       -2.78716678,      -2.452592258,      -2.523897442,      -3.103437044,      -1.614195887,      -8.624818735
          0,           0,          20,      -2.756216825,      -2.463714747,       -2.55236835,      -3.013687003,      -1.583427237,       -8.58190003
          0,           0,          21,      -2.734327156,      -2.466068365,      -2.590682737,      -2.937823461,      -1.558425563,      -8.545014699
          0,           0,          22,      -2.726182878,      -2.454208954,      -2.623420922,      -2.886148321,      -1.545633075,       -8.51313758
          0,           0,          23,       -2.73357727,      -2.432659201,       -2.63466947,      -2.863026131,      -1.548448924,      -8.484957348
          0,           0,          24,      -2.755012732,      -2.409501735,      -2.622386926,      -2.871283375,      -1.566886809,      -8.459456126
          0,           0,          25,       -2.78448055,      -2.389937359,      -2.599548417,      -2.913103235,      -1.596709659,      -8.436553301
          0,           0,          26,      -2.810455598,      -2.375523775,      -2.580149565,      -2.987193403,       -1.62779677,      -8.417195446
          0,           0,          27,      -2.819720698,       -2.36592617,      -2.571865005,      -3.072843757,      -1.645255778,      -8.402489248
          0,           0,          28,        -2.8084256,      -2.360303122,      -2.577246247,      -3.100666252,      -1.639682481,      -8.393399718
          0,           0,          29,      -2.786849736,      -2.357808619,      -2.596217235,      -3.033348443,      -1.617906295,      -8.390200892
          0,           0,          30,      -2.769612776,      -2.357496929,       -2.62719255,      -2.943228027,      -1.595976871,      -8.392969443
          0,           0,          31,      -2.766761513,      -2.358087897,       -2.66682843,       -2.87925906,      -1.586390098,      -8.401571635
          0,           0,          32,      -2.783002471,      -2.358140677,      -2.708819701,      -2.851231329,      -1.595220313,      -8.415433329
          0,           0,          33,      -2.819424398,      -2.356502684,      -2.743300934,      -2.859499204,      -1.624212239,      -8.434141598
          0,           0,          34,      -2.873620489,      -2.352805787,      -2.760711218,      -2.904568856,      -1.671761619,        -8.4578601
          0,           0,          35,      -2.937131628,      -2.347722777,        -2.7597777,      -2.989055982,      -1.731385118,      -8.486939161
          0,           0,          36,       -2.99169238,      -2.342722351,      -2.749286991,       -3.11619978,      -1.788279332,      -8.521031622
          0,           0,          37,      -3.015021051,      -2.339399066,      -2.740476625,        -3.2696962,      -1.820865302,       -8.55980815
          0,           0,          38,      -3.003959405,      -2.338765446,      -2.740649125,       -3.33381261,      -1.818965203,      -8.602590222
          0,           0,          39,      -2.979066532,      -2.340997494,      -2.752552803,      -3.239531765,      -1.797181424,      -8.649777484
          0,           0,          40,      -2.960660851,      -2.345575999,      -2.776079774,      -3.131492515,      -1.776623405,      -8.700732012
          0,           0,          41,      -2.958507484,      -2.351550743,      -2.809324546,      -3.063182998,      -1.769332771,      -8.754206748
          0,           0,          42,       -2.97576213,      -2.357882712,      -2.848657884,      -3.033924436,       -1.77965607,      -8.807786928
